slug,title,created_at,question_id,python_path,cpp_path_mirror,cpp_path_global
find-subarray-with-bitwise-or-closest-to-k,Find Subarray With Bitwise OR Closest to K,2024-06-02,3436,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3171__find-subarray-with-bitwise-or-closest-to-k/python/find-subarray-with-bitwise-or-closest-to-k.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3171__find-subarray-with-bitwise-or-closest-to-k/cpp_gpt/find-subarray-with-bitwise-or-closest-to-k.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/find-subarray-with-bitwise-or-closest-to-k/find-subarray-with-bitwise-or-closest-to-k.cpp
find-the-maximum-length-of-a-good-subsequence-ii,Find the Maximum Length of a Good Subsequence II,2024-06-08,3452,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3177__find-the-maximum-length-of-a-good-subsequence-ii/python/find-the-maximum-length-of-a-good-subsequence-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3177__find-the-maximum-length-of-a-good-subsequence-ii/cpp_gpt/find-the-maximum-length-of-a-good-subsequence-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/find-the-maximum-length-of-a-good-subsequence-ii/find-the-maximum-length-of-a-good-subsequence-ii.cpp
maximum-total-reward-using-operations-ii,Maximum Total Reward Using Operations II,2024-06-09,3443,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3181__maximum-total-reward-using-operations-ii/python/maximum-total-reward-using-operations-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3181__maximum-total-reward-using-operations-ii/cpp_gpt/maximum-total-reward-using-operations-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/maximum-total-reward-using-operations-ii/maximum-total-reward-using-operations-ii.cpp
peaks-in-array,Peaks in Array,2024-06-16,3438,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3187__peaks-in-array/python/peaks-in-array.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3187__peaks-in-array/cpp_gpt/peaks-in-array.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/peaks-in-array/peaks-in-array.cpp
count-the-number-of-inversions,Count the Number of Inversions,2024-06-22,3460,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3193__count-the-number-of-inversions/python/count-the-number-of-inversions.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3193__count-the-number-of-inversions/cpp_gpt/count-the-number-of-inversions.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/count-the-number-of-inversions/count-the-number-of-inversions.cpp
find-the-minimum-area-to-cover-all-ones-ii,Find the Minimum Area to Cover All Ones II,2024-06-23,3459,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3197__find-the-minimum-area-to-cover-all-ones-ii/python/find-the-minimum-area-to-cover-all-ones-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3197__find-the-minimum-area-to-cover-all-ones-ii/cpp_gpt/find-the-minimum-area-to-cover-all-ones-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/find-the-minimum-area-to-cover-all-ones-ii/find-the-minimum-area-to-cover-all-ones-ii.cpp
find-minimum-diameter-after-merging-two-trees,Find Minimum Diameter After Merging Two Trees,2024-06-30,3439,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3203__find-minimum-diameter-after-merging-two-trees/python/find-minimum-diameter-after-merging-two-trees.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3203__find-minimum-diameter-after-merging-two-trees/cpp_gpt/find-minimum-diameter-after-merging-two-trees.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/find-minimum-diameter-after-merging-two-trees/find-minimum-diameter-after-merging-two-trees.cpp
number-of-subarrays-with-and-value-of-k,Number of Subarrays With AND Value of K,2024-07-06,3466,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3209__number-of-subarrays-with-and-value-of-k/python/number-of-subarrays-with-and-value-of-k.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3209__number-of-subarrays-with-and-value-of-k/cpp_gpt/number-of-subarrays-with-and-value-of-k.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/number-of-subarrays-with-and-value-of-k/number-of-subarrays-with-and-value-of-k.cpp
maximum-score-from-grid-operations,Maximum Score From Grid Operations,2024-07-20,3470,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3225__maximum-score-from-grid-operations/python/maximum-score-from-grid-operations.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3225__maximum-score-from-grid-operations/cpp_gpt/maximum-score-from-grid-operations.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/maximum-score-from-grid-operations/maximum-score-from-grid-operations.cpp
time-taken-to-mark-all-nodes,Time Taken to Mark All Nodes,2024-08-03,3532,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3241__time-taken-to-mark-all-nodes/python/time-taken-to-mark-all-nodes.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3241__time-taken-to-mark-all-nodes/cpp_gpt/time-taken-to-mark-all-nodes.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/time-taken-to-mark-all-nodes/time-taken-to-mark-all-nodes.cpp
alternating-groups-iii,Alternating Groups III,2024-08-04,3527,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3245__alternating-groups-iii/python/alternating-groups-iii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3245__alternating-groups-iii/cpp_gpt/alternating-groups-iii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/alternating-groups-iii/alternating-groups-iii.cpp
find-the-count-of-monotonic-pairs-i,Find the Count of Monotonic Pairs I,2024-08-11,3535,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3250__find-the-count-of-monotonic-pairs-i/python/find-the-count-of-monotonic-pairs-i.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3250__find-the-count-of-monotonic-pairs-i/cpp_gpt/find-the-count-of-monotonic-pairs-i.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/find-the-count-of-monotonic-pairs-i/find-the-count-of-monotonic-pairs-i.cpp
find-the-count-of-monotonic-pairs-ii,Find the Count of Monotonic Pairs II,2024-08-11,3536,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3251__find-the-count-of-monotonic-pairs-ii/python/find-the-count-of-monotonic-pairs-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3251__find-the-count-of-monotonic-pairs-ii/cpp_gpt/find-the-count-of-monotonic-pairs-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/find-the-count-of-monotonic-pairs-ii/find-the-count-of-monotonic-pairs-ii.cpp
maximum-value-sum-by-placing-three-rooks-i,Maximum Value Sum by Placing Three Rooks I,2024-08-17,3550,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3256__maximum-value-sum-by-placing-three-rooks-i/python/maximum-value-sum-by-placing-three-rooks-i.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3256__maximum-value-sum-by-placing-three-rooks-i/cpp_gpt/maximum-value-sum-by-placing-three-rooks-i.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/maximum-value-sum-by-placing-three-rooks-i/maximum-value-sum-by-placing-three-rooks-i.cpp
maximum-value-sum-by-placing-three-rooks-ii,Maximum Value Sum by Placing Three Rooks II,2024-08-17,3542,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3257__maximum-value-sum-by-placing-three-rooks-ii/python/maximum-value-sum-by-placing-three-rooks-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3257__maximum-value-sum-by-placing-three-rooks-ii/cpp_gpt/maximum-value-sum-by-placing-three-rooks-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/maximum-value-sum-by-placing-three-rooks-ii/maximum-value-sum-by-placing-three-rooks-ii.cpp
count-substrings-that-satisfy-k-constraint-ii,Count Substrings That Satisfy K-Constraint II,2024-08-18,3546,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3261__count-substrings-that-satisfy-k-constraint-ii/python/count-substrings-that-satisfy-k-constraint-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3261__count-substrings-that-satisfy-k-constraint-ii/cpp_gpt/count-substrings-that-satisfy-k-constraint-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/count-substrings-that-satisfy-k-constraint-ii/count-substrings-that-satisfy-k-constraint-ii.cpp
final-array-state-after-k-multiplication-operations-ii,Final Array State After K Multiplication Operations II,2024-08-25,3556,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3266__final-array-state-after-k-multiplication-operations-ii/python/final-array-state-after-k-multiplication-operations-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3266__final-array-state-after-k-multiplication-operations-ii/cpp_gpt/final-array-state-after-k-multiplication-operations-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/final-array-state-after-k-multiplication-operations-ii/final-array-state-after-k-multiplication-operations-ii.cpp
find-the-count-of-good-integers,Find the Count of Good Integers,2024-08-31,3548,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3272__find-the-count-of-good-integers/python/find-the-count-of-good-integers.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3272__find-the-count-of-good-integers/cpp_gpt/find-the-count-of-good-integers.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/find-the-count-of-good-integers/find-the-count-of-good-integers.cpp
select-cells-in-grid-with-maximum-score,Select Cells in Grid With Maximum Score,2024-09-01,3563,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3276__select-cells-in-grid-with-maximum-score/python/select-cells-in-grid-with-maximum-score.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3276__select-cells-in-grid-with-maximum-score/cpp_gpt/select-cells-in-grid-with-maximum-score.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/select-cells-in-grid-with-maximum-score/select-cells-in-grid-with-maximum-score.cpp
maximum-xor-score-subarray-queries,Maximum XOR Score Subarray Queries,2024-09-01,3551,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3277__maximum-xor-score-subarray-queries/python/maximum-xor-score-subarray-queries.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3277__maximum-xor-score-subarray-queries/cpp_gpt/maximum-xor-score-subarray-queries.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/maximum-xor-score-subarray-queries/maximum-xor-score-subarray-queries.cpp
maximum-number-of-moves-to-kill-all-pawns,Maximum Number of Moves to Kill All Pawns,2024-09-08,3560,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3283__maximum-number-of-moves-to-kill-all-pawns/python/maximum-number-of-moves-to-kill-all-pawns.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3283__maximum-number-of-moves-to-kill-all-pawns/cpp_gpt/maximum-number-of-moves-to-kill-all-pawns.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/maximum-number-of-moves-to-kill-all-pawns/maximum-number-of-moves-to-kill-all-pawns.cpp
find-the-maximum-sequence-value-of-array,Find the Maximum Sequence Value of Array,2024-09-14,3575,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3287__find-the-maximum-sequence-value-of-array/python/find-the-maximum-sequence-value-of-array.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3287__find-the-maximum-sequence-value-of-array/cpp_gpt/find-the-maximum-sequence-value-of-array.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/find-the-maximum-sequence-value-of-array/find-the-maximum-sequence-value-of-array.cpp
length-of-the-longest-increasing-path,Length of the Longest Increasing Path,2024-09-14,3571,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3288__length-of-the-longest-increasing-path/python/length-of-the-longest-increasing-path.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3288__length-of-the-longest-increasing-path/cpp_gpt/length-of-the-longest-increasing-path.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/length-of-the-longest-increasing-path/length-of-the-longest-increasing-path.cpp
minimum-number-of-valid-strings-to-form-target-ii,Minimum Number of Valid Strings to Form Target II,2024-09-15,3557,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3292__minimum-number-of-valid-strings-to-form-target-ii/python/minimum-number-of-valid-strings-to-form-target-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3292__minimum-number-of-valid-strings-to-form-target-ii/cpp_gpt/minimum-number-of-valid-strings-to-form-target-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/minimum-number-of-valid-strings-to-form-target-ii/minimum-number-of-valid-strings-to-form-target-ii.cpp
count-substrings-that-can-be-rearranged-to-contain-a-string-ii,Count Substrings That Can Be Rearranged to Contain a String II,2024-09-22,3572,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3298__count-substrings-that-can-be-rearranged-to-contain-a-string-ii/python/count-substrings-that-can-be-rearranged-to-contain-a-string-ii.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3298__count-substrings-that-can-be-rearranged-to-contain-a-string-ii/cpp_gpt/count-substrings-that-can-be-rearranged-to-contain-a-string-ii.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/count-substrings-that-can-be-rearranged-to-contain-a-string-ii/count-substrings-that-can-be-rearranged-to-contain-a-string-ii.cpp
find-the-occurrence-of-first-almost-equal-substring,Find the Occurrence of First Almost Equal Substring,2024-09-28,3580,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3303__find-the-occurrence-of-first-almost-equal-substring/python/find-the-occurrence-of-first-almost-equal-substring.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3303__find-the-occurrence-of-first-almost-equal-substring/cpp_gpt/find-the-occurrence-of-first-almost-equal-substring.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/find-the-occurrence-of-first-almost-equal-substring/find-the-occurrence-of-first-almost-equal-substring.cpp
sorted-gcd-pair-queries,Sorted GCD Pair Queries,2024-10-06,3583,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3312__sorted-gcd-pair-queries/python/sorted-gcd-pair-queries.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3312__sorted-gcd-pair-queries/cpp_gpt/sorted-gcd-pair-queries.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/sorted-gcd-pair-queries/sorted-gcd-pair-queries.cpp
find-the-number-of-possible-ways-for-an-event,Find the Number of Possible Ways for an Event,2024-10-12,3604,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3317__find-the-number-of-possible-ways-for-an-event/python/find-the-number-of-possible-ways-for-an-event.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3317__find-the-number-of-possible-ways-for-an-event/cpp_gpt/find-the-number-of-possible-ways-for-an-event.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/find-the-number-of-possible-ways-for-an-event/find-the-number-of-possible-ways-for-an-event.cpp
count-the-number-of-winning-sequences,Count The Number of Winning Sequences,2024-10-13,3588,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3320__count-the-number-of-winning-sequences/python/count-the-number-of-winning-sequences.py,/Users/aadil/Aarz_GreenTranspilation/kamyu_hard_mirror/3320__count-the-number-of-winning-sequences/cpp_gpt/count-the-number-of-winning-sequences.cpp,/Users/aadil/Aarz_GreenTranspilation/cpp_gpt_all/count-the-number-of-winning-sequences/count-the-number-of-winning-sequences.cpp
