problem,cpp_checksum,python2_checksum,match,error
123__best-time-to-buy-and-sell-stock-iii,2000057,2000057,True,
124__binary-tree-maximum-path-sum,198,198,True,
127__word-ladder,31,31,True,
135__candy,94,94,True,
140__word-break-ii,73,73,True,
154__find-minimum-in-rotated-sorted-array-ii,8,8,True,
174__dungeon-game,1035,1035,True,
188__best-time-to-buy-and-sell-stock-iv,68,68,True,
212__word-search-ii,45,45,True,
214__shortest-palindrome,81,81,True,
218__the-skyline-problem,46,46,True,
220__contains-duplicate-iii,6,6,True,
233__number-of-digit-one,900000365,900000365,True,
239__sliding-window-maximum,-1000000010,-1000000010,True,
23__merge-k-sorted-lists,30166,30166,True,
282__expression-add-operators,14,14,True,
295__find-median-from-data-stream,150,150,True,
297__serialize-and-deserialize-binary-tree,268,,,"Python2 failed: Command '['python2', 'newv2_cleaned_new_transpiled_solutions copy 2/297__serialize-and-deserialize-binary-tree/cpp/serialize-and-deserialize-binary-tree_benchmark_v2.py']' returned non-zero exit status 1.; "
301__remove-invalid-parentheses,89,89,True,
30__substring-with-concatenation-of-all-words,17,17,True,
312__burst-balloons,1151636,1151636,True,
315__count-of-smaller-numbers-after-self,59,59,True,
321__create-maximum-number,304,304,True,
327__count-of-range-sum,108,108,True,
329__longest-increasing-path-in-a-matrix,48,48,True,
32__longest-valid-parentheses,42,42,True,
330__patching-array,40,40,True,
332__reconstruct-itinerary,1539,1539,True,
335__self-crossing,5,,,"Python2 failed: Command '['python2', 'newv2_cleaned_new_transpiled_solutions copy 2/335__self-crossing/cpp/self-crossing_benchmark_v2.py']' returned non-zero exit status 1.; "
352__data-stream-as-disjoint-intervals,42391,42391,True,
354__russian-doll-envelopes,32,32,True,
391__perfect-rectangle,6,6,True,
403__frog-jump,7,7,True,
407__trapping-rain-water-ii,141,141,True,
410__split-array-largest-sum,2000323,2000323,True,
41__first-missing-positive,34,34,True,
42__trapping-rain-water,149,149,True,
432__all-oone-data-structure,-340100891,8249833701,False,
440__k-th-smallest-in-lexicographical-order,1077989903,,,"Python2 failed: Command '['python2', 'newv2_cleaned_new_transpiled_solutions copy 2/440__k-th-smallest-in-lexicographical-order/cpp/k-th-smallest-in-lexicographical-order_benchmark_v2.py']' returned non-zero exit status 1.; "
446__arithmetic-slices-ii-subsequence,96,96,True,
460__lfu-cache,1537,1537,True,
472__concatenated-words,54,54,True,
479__largest-palindrome-product,4542,4542,True,
480__sliding-window-median,80,,,"Python2 failed: Command '['python2', 'newv2_cleaned_new_transpiled_solutions copy 2/480__sliding-window-median/cpp/sliding-window-median_benchmark_v2.py']' returned non-zero exit status 1.; "
483__smallest-good-base,91,91,True,
493__reverse-pairs,259,259,True,
4__median-of-two-sorted-arrays,41,41,True,
514__freedom-trail,252,252,True,
51__n-queens,150,,,"Python2 failed: Command '['python2', 'newv2_cleaned_new_transpiled_solutions copy 2/51__n-queens/cpp/n-queens_benchmark_v2.py']' returned non-zero exit status 1.; "
52__n-queens-ii,1225,1225,True,
546__remove-boxes,79,79,True,
552__student-attendance-record-ii,2085689854,2085689854,True,
564__find-the-closest-palindrome,105,105,True,
587__erect-the-fence,1928,1928,True,
591__tag-validator,10,10,True,
600__non-negative-integers-without-consecutive-ones,2178529,,,"Python2 failed: Command '['python2', 'newv2_cleaned_new_transpiled_solutions copy 2/600__non-negative-integers-without-consecutive-ones/cpp/non-negative-integers-without-consecutive-ones_benchmark_v2.py']' returned non-zero exit status 1.; "
60__permutation-sequence,563,563,True,
629__k-inverse-pairs-array,1921047927,1921047927,True,
630__course-schedule-iii,30,30,True,
639__decode-ways-ii,48,48,True,
65__valid-number,10,10,True,
664__strange-printer,45,45,True,
668__kth-smallest-number-in-multiplication-table,5038,5038,True,
675__cut-off-trees-for-golf-event,111,111,True,
679__24-game,7,7,True,
685__redundant-connection-ii,4345,4345,True,
68__text-justification,4512,21752,False,
691__stickers-to-spell-word,22,22,True,
699__falling-squares,190,190,True,
715__range-module,25,25,True,
719__find-k-th-smallest-pair-distance,1000127,1000127,True,
730__count-different-palindromic-subsequences,320690,320690,True,
