timestamp,slug,file,lang,status_msg,run_success,total_correct,total_testcases,status_runtime,status_memory,runtime_percentile,memory_percentile,question_id,submission_id,state
2025-10-18T21:26:41.810787Z,best-time-to-buy-and-sell-stock-iii,C:/Users/B/Desktop/Capstone/capstone/capstone/new_transpiled_solutions/123__best-time-to-buy-and-sell-stock-iii/cpp/best-time-to-buy-and-sell-stock-iii.cpp,cpp,Accepted,True,214,214,2 ms,79.1 MB,87.0535,99.0924,123,1805343990,SUCCESS
2025-10-18T21:26:58.289385Z,binary-tree-maximum-path-sum,C:/Users/B/Desktop/Capstone/capstone/capstone/new_transpiled_solutions/124__binary-tree-maximum-path-sum/cpp/binary-tree-maximum-path-sum.cpp,cpp,Accepted,True,96,96,21 ms,33.2 MB,5.027400000000004,5.783199999999997,124,1805344104,SUCCESS
2025-10-18T21:27:19.538542Z,word-ladder-ii,C:/Users/B/Desktop/Capstone/capstone/capstone/new_transpiled_solutions/126__word-ladder-ii/cpp/word-ladder-ii.cpp,cpp,Time Limit Exceeded,False,33,38,N/A,N/A,None,None,126,1805344221,SUCCESS
2025-10-18T21:27:36.772415Z,word-ladder,C:/Users/B/Desktop/Capstone/capstone/capstone/new_transpiled_solutions/127__word-ladder/cpp/word-ladder.cpp,cpp,Accepted,True,51,51,13 ms,19.2 MB,99.28249999999997,96.15429999999999,127,1805344374,SUCCESS
2025-10-18T21:27:52.958897Z,candy,C:/Users/B/Desktop/Capstone/capstone/capstone/new_transpiled_solutions/135__candy/cpp/candy.cpp,cpp,Accepted,True,50,50,0 ms,22.9 MB,100,49.88760000000002,135,1805344493,SUCCESS
2025-10-18T21:28:10.480162Z,word-break-ii,C:/Users/B/Desktop/Capstone/capstone/capstone/new_transpiled_solutions/140__word-break-ii/cpp/word-break-ii.cpp,cpp,Accepted,True,29,29,3 ms,10.3 MB,11.561400000000003,62.5457,140,1805344608,SUCCESS
2025-10-18T21:28:26.780035Z,max-points-on-a-line,C:/Users/B/Desktop/Capstone/capstone/capstone/new_transpiled_solutions/149__max-points-on-a-line/cpp/max-points-on-a-line.cpp,cpp,Compile Error,False,None,None,N/A,N/A,None,None,149,1805344732,SUCCESS
2025-10-18T21:28:42.388994Z,find-minimum-in-rotated-sorted-array-ii,C:/Users/B/Desktop/Capstone/capstone/capstone/new_transpiled_solutions/154__find-minimum-in-rotated-sorted-array-ii/cpp/find-minimum-in-rotated-sorted-array-ii.cpp,cpp,Accepted,True,193,193,0 ms,16.3 MB,100,30.334699999999998,154,1805344841,SUCCESS
2025-10-18T21:28:58.401153Z,dungeon-game,C:/Users/B/Desktop/Capstone/capstone/capstone/new_transpiled_solutions/174__dungeon-game/cpp/dungeon-game.cpp,cpp,Accepted,True,45,45,0 ms,12.8 MB,100,86.79810000000002,174,1805344952,SUCCESS
2025-10-18T21:29:14.570017Z,best-time-to-buy-and-sell-stock-iv,C:/Users/B/Desktop/Capstone/capstone/capstone/new_transpiled_solutions/188__best-time-to-buy-and-sell-stock-iv/cpp/best-time-to-buy-and-sell-stock-iv.cpp,cpp,Accepted,True,211,211,3 ms,15.1 MB,83.1108,71.42359999999998,188,1805345056,SUCCESS
